person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,cb_person_default_on_file,person_home_ownership,loan_intent,loan_grade,default_probability,default_flag,loan_id,risk_tier
24,69996,3.0,2500,12.53,0.04,4,0,3,2,1,0.2081452795440135,0,LN15977,Low
31,170000,15.0,10000,13.49,0.06,8,1,0,4,2,0.030009958637111405,0,LN18152,Low
37,53532,12.0,4000,5.42,0.07,11,0,0,0,0,0.029492682283773847,0,LN30390,Low
25,61000,9.0,15000,9.88,0.25,2,0,0,2,1,0.11021188998835245,0,LN09329,Low
35,42000,4.0,5000,14.17,0.12,8,0,0,1,2,0.6057728593332821,1,LN21466,High
26,71004,0.0,20000,13.36,0.28,2,1,3,2,3,0.7953332610763099,1,LN00740,High
37,27036,2.0,5000,11.49,0.18,11,0,3,5,1,0.021756993431377103,0,LN30680,Low
24,30000,1.0,4000,7.49,0.13,4,0,3,5,0,0.01870606833744771,0,LN03785,Low
22,32484,6.0,6250,7.51,0.19,4,0,0,2,0,0.09337636287900186,1,LN03836,Low
36,48000,3.0,1500,13.92,0.03,11,0,0,3,2,0.46698874942956237,1,LN32009,Medium
21,52000,5.0,1500,11.99,0.03,2,0,3,4,1,0.06383197813708982,0,LN16507,Low
25,89796,2.0,9000,11.11,0.1,4,0,0,5,1,0.01926989704162377,0,LN13171,Low
29,54000,1.0,25000,20.16,0.46,8,1,0,4,6,0.48528628864669815,1,LN23159,Medium
44,27000,5.0,1700,6.99,0.06,15,0,3,1,0,0.04347286389103471,0,LN29471,Low
31,65000,3.0,23200,7.9,0.36,10,0,0,0,0,0.04852217637353221,0,LN23595,Low
24,90000,0.0,15000,7.9,0.17,2,0,3,0,0,0.0218201652897234,0,LN15642,Low
22,30000,6.0,3000,11.49,0.1,3,0,0,0,1,0.23932579790963607,0,LN16188,Low
28,170000,4.0,20000,15.31,0.12,10,1,0,1,3,0.12356997344403294,0,LN27707,Low
22,60000,5.0,2100,14.65,0.04,2,0,3,0,2,0.2007050276130622,0,LN01982,Low
32,42000,4.0,3000,7.49,0.07,10,0,3,3,0,0.030377230359631413,0,LN25481,Low
24,72000,5.0,8000,10.0,0.11,3,0,3,2,1,0.0803336191267429,0,LN09415,Low
25,40000,0.0,4700,12.09,0.12,3,1,3,3,2,0.05028234033454946,0,LN04321,Low
35,40800,5.0,5000,6.54,0.12,5,0,3,5,0,0.01900035807356115,0,LN20770,Low
37,200000,3.0,10000,13.8,0.05,16,0,0,1,3,0.15847677849826136,0,LN31884,Low
22,57900,3.0,4850,8.49,0.08,2,0,0,1,0,0.183583382896825,0,LN08431,Low
22,15000,0.0,5000,15.31,0.33,4,1,3,5,3,0.9290777926242516,1,LN09158,High
56,150000,5.0,15000,11.48,0.1,26,0,0,4,1,0.023152124811549577,0,LN32580,Low
26,29000,10.0,9200,7.49,0.32,3,0,3,0,0,0.9360552668830874,1,LN09989,High
31,85000,4.0,16000,11.89,0.19,10,0,1,2,1,0.531627756595972,0,LN25520,Medium
22,36500,0.0,18725,6.54,0.51,3,0,3,5,0,0.9094869106497866,1,LN00924,High
32,109488,16.0,12000,12.09,0.11,8,0,0,2,2,0.043033899272974775,0,LN26644,Low
33,88000,3.0,9000,14.54,0.1,9,0,3,5,3,0.04627359499123849,0,LN20915,Low
27,40800,4.0,6000,11.49,0.15,10,0,0,1,1,0.075288990231919,0,LN20507,Low
30,80000,6.0,12000,10.99,0.15,8,0,0,2,1,0.020154089977749767,0,LN25125,Low
30,35000,6.0,10000,5.79,0.29,9,0,3,4,0,0.033071031371258275,0,LN24014,Low
25,31200,4.0,4000,17.19,0.13,4,1,2,2,4,0.7675737405959947,1,LN12775,High
21,28800,5.0,8000,9.88,0.28,2,0,3,0,1,0.13149699752516195,0,LN16770,Low
26,34320,2.0,9000,6.62,0.26,2,0,3,1,0,0.14954831300693092,1,LN09810,Low
23,26000,7.0,5000,7.91,0.19,2,0,0,3,0,0.11487549924263392,0,LN01324,Low
26,41000,1.0,6600,8.0,0.16,2,0,3,0,0,0.03318587393255657,0,LN07401,Low
54,29000,7.0,2500,11.71,0.09,28,0,0,4,1,0.06550087509853036,0,LN32549,Low
26,37500,3.0,10000,14.91,0.27,2,1,3,5,3,0.11210339587100292,0,LN16454,Low
21,42000,5.0,7000,15.23,0.17,4,1,0,1,2,0.13605260218554927,0,LN04686,Low
31,91000,12.0,4000,7.66,0.04,6,0,3,1,0,0.046358439749716866,0,LN20306,Low
22,47000,3.0,15000,7.66,0.32,2,0,0,3,0,0.0979341360302927,0,LN05865,Low
45,118000,11.0,9600,13.99,0.08,12,1,0,1,2,0.05703927806658951,1,LN31735,Low
33,44784,2.0,10000,15.31,0.22,6,0,3,1,3,0.9249075167184143,1,LN24414,High
36,16800,2.0,1200,13.06,0.07,14,0,3,5,2,0.1454083686424084,0,LN32155,Low
24,122000,4.0,15000,11.58,0.12,3,0,3,1,1,0.0396020867863093,0,LN01867,Low
22,53000,6.0,7750,7.14,0.15,4,0,0,0,0,0.030933368407498208,0,LN07455,Low
30,28800,2.0,6000,15.23,0.21,6,1,3,4,2,0.36778763004627407,0,LN21519,Medium
26,15600,5.0,5000,5.99,0.32,3,0,3,0,0,0.9344410275004114,1,LN09163,High
24,200000,8.0,12000,12.69,0.06,2,0,3,5,1,0.02152644681994863,0,LN16573,Low
34,59000,1.0,20000,13.48,0.34,7,1,0,3,2,0.3102356588752726,1,LN23743,Medium
34,40000,2.0,5000,12.53,0.13,10,0,3,5,1,0.02032072007980292,0,LN20764,Low
29,75000,7.0,6125,7.49,0.08,8,0,0,1,0,0.02048803738574451,0,LN24673,Low
22,35000,4.0,5000,21.36,0.14,2,1,0,5,5,0.4057552069917359,0,LN02898,Medium
22,75000,0.0,8000,5.99,0.11,3,0,3,0,0,0.02245478656289442,0,LN09423,Low
24,22320,4.0,1000,16.32,0.04,2,0,2,3,4,0.6790726852033034,1,LN15374,High
26,80000,4.0,9600,7.49,0.12,2,0,3,1,0,0.021694141047274813,0,LN10283,Low
28,170000,1.0,12000,5.79,0.07,6,0,3,2,0,0.023616131158590948,0,LN25712,Low
28,43000,4.0,13800,6.91,0.32,6,0,0,3,0,0.08144362739800882,0,LN20798,Low
26,54000,7.0,25000,14.83,0.46,2,1,3,0,3,0.9366189103331944,1,LN00164,High
28,33763,5.0,4800,7.14,0.14,5,0,3,3,0,0.05645500584787854,0,LN20477,Low
35,106369,2.0,8325,6.99,0.08,10,0,0,5,0,0.018448133623092573,0,LN29097,Low
34,44000,1.0,11000,13.79,0.25,6,1,3,1,2,0.18391735514725827,0,LN19857,Low
21,38400,0.0,12200,13.48,0.32,4,1,2,5,2,0.13879385809057757,0,LN16065,Low
29,24000,6.0,5000,10.74,0.21,10,0,3,4,1,0.033941294356075694,0,LN23241,Low
26,60000,3.0,30000,14.27,0.5,3,1,0,4,2,0.1634053005579,0,LN16845,Low
23,108000,7.0,5000,7.66,0.05,4,0,3,1,0,0.02579019577203763,0,LN05680,Low
24,124080,4.0,24000,16.49,0.19,4,1,3,4,3,0.09027412824028534,0,LN00453,Low
22,108803,6.0,10000,12.23,0.08,4,0,0,3,2,0.06827308552439276,1,LN15519,Low
50,56000,2.0,15000,13.47,0.27,15,0,3,2,2,0.08165691307194338,0,LN31716,Low
22,43000,7.0,6000,7.74,0.14,4,0,2,1,0,0.029536904171017463,0,LN17008,Low
32,113000,5.0,12000,16.29,0.11,5,0,3,2,3,0.3522220538221332,1,LN25686,Medium
22,78996,1.0,12000,15.95,0.15,3,1,3,0,3,0.934145299421773,1,LN12991,High
30,32004,1.0,24250,11.12,0.76,5,0,3,4,1,0.8747465071492883,1,LN18204,High
30,105000,4.0,24250,15.65,0.23,10,0,3,5,3,0.11201657730158321,0,LN18219,Low
31,12996,4.0,1750,6.76,0.13,10,0,3,3,0,0.10513124777426276,0,LN18900,Low
26,53000,2.0,2500,9.91,0.05,2,0,2,2,1,0.09019879290863875,0,LN07405,Low
28,115000,11.0,5000,7.51,0.04,8,0,0,2,0,0.020767472826944706,0,LN26833,Low
30,36000,2.0,4200,14.27,0.12,5,1,3,1,2,0.28929978453494226,0,LN24251,Low
27,120000,4.0,20000,7.51,0.17,6,0,0,0,0,0.019588841342456757,0,LN26959,Low
25,50000,0.0,2600,6.03,0.05,3,0,0,5,0,0.020193291681880006,0,LN16675,Low
23,70000,8.0,6725,6.62,0.1,2,0,3,5,0,0.018166251927242385,0,LN16510,Low
36,50000,4.0,15000,8.9,0.3,14,0,3,2,0,0.04060135485733219,0,LN31657,Low
36,160000,5.0,10000,12.73,0.06,15,1,0,1,2,0.0493461025962747,0,LN31849,Low
42,42000,11.0,9600,13.23,0.23,15,0,3,5,2,0.03403709007625474,0,LN30824,Low
37,65000,0.0,4000,10.75,0.06,15,0,0,4,1,0.07259413831247875,0,LN30796,Low
24,120000,8.0,5275,5.42,0.04,4,0,2,1,0,0.02111570449479128,0,LN17806,Low
26,48000,1.0,15000,18.64,0.31,3,0,3,1,4,0.9326145016398083,1,LN17538,High
27,72000,6.0,17000,6.03,0.24,6,0,0,3,0,0.029246638857000924,0,LN24335,Low
28,14400,2.0,4000,13.11,0.28,8,1,3,3,2,0.9279436812363384,1,LN20071,High
23,66000,8.0,8750,9.99,0.13,2,0,0,1,1,0.04722105511388491,0,LN10237,Low
27,39996,7.0,2500,15.65,0.06,8,0,3,0,3,0.8429704699110966,1,LN19297,High
25,35138,3.0,1000,10.99,0.03,3,0,0,0,1,0.11724256277088398,0,LN03091,Low
53,28000,2.0,7000,6.0,0.25,26,0,3,0,2,0.04619248438773175,0,LN32425,Low
22,18000,1.0,5400,15.31,0.3,4,1,2,1,3,0.8319988257093657,1,LN16880,High
32,32000,1.0,2600,16.82,0.08,6,0,3,5,4,0.9071265999730885,1,LN25879,High
24,64000,2.0,12000,17.56,0.19,4,1,0,0,4,0.8945214573818014,1,LN16399,High
41,140000,2.0,15000,17.88,0.11,11,0,0,1,4,0.438971086555388,0,LN31979,Medium
29,54000,1.0,10000,16.89,0.19,5,0,0,5,3,0.25299807030336113,0,LN22273,Low
29,48000,1.0,7000,12.68,0.15,6,1,0,5,2,0.04360684101776021,0,LN21459,Low
24,25000,3.0,9000,7.14,0.36,4,0,0,5,0,0.041783564655894306,0,LN01202,Low
33,60000,17.0,7000,5.42,0.12,8,0,0,3,0,0.020767662981879584,0,LN23027,Low
25,54000,0.0,10000,15.23,0.19,4,0,3,2,2,0.48237336720292356,1,LN11388,Medium
28,50000,4.0,15000,7.49,0.3,8,0,3,4,0,0.02278741714680287,0,LN28324,Low
22,27996,1.0,5000,17.51,0.18,4,0,3,5,4,0.9154183625442395,1,LN04714,High
27,36000,4.0,3000,15.62,0.08,7,0,3,2,3,0.8297555586330277,1,LN25483,High
26,80400,6.0,7000,10.65,0.09,2,0,3,3,1,0.03846216920227444,0,LN17247,Low
24,40500,8.0,8500,10.99,0.21,3,0,0,0,1,0.08543616066308045,1,LN05782,Low
33,29000,0.0,10000,13.06,0.34,7,1,3,1,2,0.9377052310421327,1,LN28607,High
21,23040,0.0,6000,7.9,0.26,2,0,3,2,0,0.12036190602719739,1,LN06148,Low
31,60000,0.0,24250,12.18,0.4,7,0,2,1,1,0.5116560639405642,0,LN23177,Medium
26,80730,7.0,9600,7.29,0.12,2,0,0,2,0,0.02021873130404609,0,LN12417,Low
28,60000,3.0,2000,10.99,0.03,6,0,3,1,1,0.03792945187729879,0,LN19034,Low
30,43000,2.0,14400,6.99,0.33,10,0,3,0,0,0.9242049163631828,1,LN26423,High
22,60000,0.0,14000,12.73,0.23,2,0,3,1,2,0.024427032071169436,0,LN13976,Low
23,59000,3.0,10000,15.58,0.17,3,0,3,1,3,0.3775994860609309,1,LN11537,Medium
27,62000,1.0,3275,9.33,0.05,8,0,0,2,1,0.02768889913113225,0,LN28974,Low
28,58100,4.0,10000,10.25,0.17,8,0,3,3,1,0.052203702218574004,0,LN24516,Low
27,95000,11.0,18000,13.48,0.19,5,0,0,5,2,0.02491480866856817,0,LN28164,Low
27,125000,7.0,9000,7.51,0.07,6,0,0,1,0,0.019012356439637043,0,LN27133,Low
23,42000,7.0,12000,15.23,0.29,3,1,0,5,2,0.07165957331646199,0,LN16539,Low
27,36672,11.0,8000,7.9,0.22,9,0,3,4,0,0.03146536798127621,1,LN23018,Low
24,134000,8.0,25000,16.07,0.19,3,1,3,4,3,0.07684398341158362,0,LN00340,Low
24,20400,3.0,7550,14.79,0.37,3,1,3,0,2,0.8852524416195654,1,LN16348,High
30,36000,0.0,13000,13.61,0.36,8,0,3,3,2,0.9271626086789074,1,LN19238,High
24,99750,8.0,12000,9.62,0.12,3,0,0,2,1,0.02540009766990095,0,LN13977,Low
30,140000,6.0,5000,8.9,0.04,6,0,0,4,0,0.02646415767119691,0,LN27416,Low
30,65000,3.0,10000,12.73,0.15,6,1,3,4,2,0.03466982472488869,0,LN24640,Low
24,52800,1.0,8000,12.87,0.15,4,0,3,0,2,0.06273410742482105,0,LN16900,Low
30,42000,7.0,1200,6.62,0.03,8,0,2,1,0,0.06133350474700212,0,LN20615,Low
30,51996,5.0,3200,6.99,0.06,5,0,0,4,0,0.021783159376864383,0,LN29086,Low
23,39996,2.0,18000,9.25,0.45,4,0,3,1,1,0.9394715300104077,1,LN00968,High
27,55140,8.0,10000,13.49,0.18,8,1,0,2,2,0.052031109006883965,0,LN22525,Low
21,30000,0.0,13750,15.05,0.46,4,1,3,0,3,0.9292436733931324,1,LN13800,High
23,84000,3.0,15850,8.49,0.19,4,0,3,3,0,0.04595514967720371,0,LN15755,Low
28,81996,5.0,5000,14.26,0.06,5,0,3,4,2,0.09866803331156658,0,LN21176,Low
26,48000,2.0,10700,9.63,0.22,4,0,3,1,0,0.04045729849661186,0,LN03482,Low
23,58650,7.0,15000,13.43,0.22,4,1,3,3,2,0.04256057992437995,1,LN15516,Low
26,54528,9.0,10000,8.94,0.18,3,0,0,2,0,0.05194716977175173,0,LN07733,Low
25,20000,1.0,12000,8.07,0.6,2,0,3,3,0,0.9300934192071894,1,LN17360,High
24,62500,8.0,16000,10.38,0.26,3,0,0,0,1,0.06278196424891683,0,LN09576,Low
23,75000,7.0,12000,12.53,0.16,3,0,3,4,1,0.03540617383739213,0,LN12902,Low
21,165000,5.0,20000,6.91,0.12,4,0,0,1,0,0.01956485209298436,0,LN00351,Low
31,50000,5.0,2000,6.39,0.04,7,0,0,5,0,0.01987078835078264,0,LN21807,Low
33,50000,14.0,10000,16.89,0.2,7,0,0,0,3,0.8829498878391601,1,LN22582,High
23,66661,7.0,1500,11.49,0.02,3,0,0,3,1,0.06117169712341313,0,LN10319,Low
24,54000,6.0,6300,14.65,0.12,2,1,0,2,2,0.3558911470977331,1,LN08693,Medium
22,76000,6.0,7000,11.12,0.09,2,0,3,1,1,0.1364970494799513,0,LN07175,Low
29,74000,3.0,16000,13.11,0.22,5,1,3,2,2,0.28553051300098203,1,LN27699,Low
29,175000,1.0,15000,8.49,0.09,8,0,0,0,0,0.035587853720109947,0,LN18121,Low
29,48000,8.0,4500,5.42,0.09,7,0,0,3,0,0.024800449896841954,0,LN28741,Low
23,72000,5.0,3000,16.89,0.04,4,1,3,0,3,0.8148432374892162,1,LN16562,High
41,24000,3.0,4500,12.99,0.19,12,1,2,1,2,0.03835220832779569,0,LN32282,Low
24,21000,0.0,5000,8.63,0.24,2,0,3,0,0,0.09501693277198991,0,LN09216,Low
34,30000,2.0,12000,7.49,0.4,6,0,3,4,0,0.9411497904961769,1,LN25061,High
42,98603,19.0,24250,14.22,0.21,14,0,0,3,2,0.3777226963080813,1,LN31729,Medium
29,39500,8.0,5000,7.74,0.13,8,0,0,5,0,0.019293853043923625,0,LN20220,Low
30,75000,7.0,20000,12.18,0.27,7,0,3,3,1,0.09316838866752064,0,LN18408,Low
34,27000,3.0,2525,12.21,0.09,7,0,3,5,1,0.027554005128475844,0,LN25892,Low
23,40440,0.0,5500,12.73,0.14,4,0,3,1,2,0.04168660795946927,0,LN05858,Low
26,89000,10.0,8000,10.99,0.09,3,0,0,2,1,0.021812718638972783,0,LN16797,Low
23,81600,7.0,9000,7.49,0.11,4,0,0,0,0,0.019872142969423884,0,LN12462,Low
29,15000,4.0,2200,13.48,0.15,10,0,3,4,2,0.3194242995862946,1,LN19090,Medium
39,92000,1.0,20000,14.79,0.22,16,0,0,4,2,0.1734019093902234,0,LN31403,Low
22,67320,7.0,3900,14.35,0.06,4,1,0,1,2,0.24783437307425904,0,LN10405,Low
34,30000,3.0,9050,5.99,0.3,9,0,3,4,0,0.07678281975748885,0,LN23685,Low
23,54586,5.0,19000,11.14,0.35,4,0,3,1,1,0.9394715300104077,1,LN16972,High
27,98000,11.0,20000,16.0,0.2,8,0,3,2,3,0.2549915258110325,1,LN18469,Low
26,37000,10.0,6300,10.99,0.17,3,0,3,4,1,0.05327348953328093,0,LN07254,Low
33,44000,10.0,13000,9.91,0.3,6,0,3,2,1,0.053316548320822686,1,LN19252,Low
25,80000,2.0,4000,10.59,0.05,3,0,3,0,1,0.03973603808995926,0,LN04074,Low
39,44000,11.0,1800,14.91,0.04,17,0,3,3,3,0.5651886190789392,1,LN29479,Medium
31,180000,5.0,9000,14.27,0.05,6,1,0,5,2,0.030950042847253462,0,LN18088,Low
25,49000,6.0,3000,13.48,0.06,4,0,2,4,2,0.07823780044379504,0,LN17270,Low
23,31800,7.0,9600,13.48,0.3,3,1,3,4,2,0.2942248268105889,1,LN10167,Low
25,76000,3.0,20000,6.54,0.26,2,0,0,1,0,0.02337571575593946,0,LN17330,Low
21,32000,6.0,12000,15.31,0.38,2,1,3,3,3,0.9298881036848892,1,LN12317,High
23,22944,7.0,5000,11.11,0.22,3,0,3,1,1,0.11321195323374551,0,LN09233,Low
23,67000,1.0,3250,6.76,0.05,2,0,2,5,0,0.018448133623092573,0,LN10369,Low
38,35000,5.0,1800,16.49,0.05,12,1,2,1,3,0.29248340784391674,0,LN31391,Low
27,49200,4.0,2500,5.42,0.05,10,0,0,2,0,0.024073054004594623,0,LN28070,Low
23,57600,7.0,4000,7.49,0.07,3,0,0,0,0,0.020528413607297045,0,LN08408,Low
36,42000,2.0,2000,11.14,0.05,11,0,3,5,1,0.02107576320624006,0,LN31590,Low
43,45000,2.0,7000,12.99,0.16,14,0,3,1,2,0.10515992566863212,0,LN30442,Low
22,42000,4.0,7000,8.63,0.17,4,0,3,1,0,0.22462720615379664,0,LN07850,Low
43,36000,0.0,9000,5.79,0.25,14,0,3,3,0,0.026001614590898798,0,LN32050,Low
29,83000,13.0,10000,11.99,0.12,6,0,3,1,1,0.06110980584854513,0,LN24782,Low
26,150000,10.0,14000,10.36,0.09,3,0,0,0,1,0.049148368190678325,0,LN15638,Low
26,30000,4.0,5000,11.58,0.17,4,0,2,5,1,0.02076926278715235,0,LN14438,Low
31,93000,4.0,10000,10.99,0.11,6,0,2,1,1,0.03310143082619655,0,LN25949,Low
26,22296,4.0,5400,5.42,0.24,3,0,2,4,0,0.02298998464531273,0,LN00830,Low
24,75000,8.0,5500,11.86,0.07,4,0,0,4,1,0.0563779665435153,0,LN11643,Low
24,134300,2.0,12000,16.45,0.08,2,0,0,3,4,0.5543252250054332,1,LN15783,Medium
24,58668,8.0,6000,15.05,0.1,4,1,3,3,3,0.7495520033708135,1,LN06806,High
28,209000,4.0,15000,14.84,0.07,7,1,2,4,3,0.06037898019484447,0,LN17982,Low
27,35000,5.0,10000,13.48,0.29,8,1,3,5,2,0.10759365559168815,0,LN28385,Low
34,150000,5.0,15000,11.86,0.1,9,0,0,5,1,0.019588841342456757,0,LN27582,Low
30,43000,0.0,5000,9.62,0.12,9,0,3,5,1,0.01900035807356115,0,LN20797,Low
22,105000,6.0,7500,7.49,0.07,2,0,0,1,0,0.025669676941951686,0,LN14379,Low
24,20400,3.0,7550,14.79,0.37,4,0,3,5,2,0.9054752902212407,1,LN08448,High
27,50000,4.0,5125,9.99,0.1,10,0,2,4,1,0.03613874245622561,0,LN21693,Low
32,28672,5.0,4650,13.22,0.16,5,1,2,1,2,0.07613482196197201,0,LN18897,Low
36,28000,1.0,3075,15.62,0.11,12,1,0,5,3,0.12964894675395908,1,LN29456,Low
23,65400,4.0,20000,15.05,0.31,4,1,0,5,3,0.09884304804832063,0,LN10180,Low
22,42000,6.0,15000,13.49,0.36,4,1,0,1,2,0.09313511436829293,0,LN04630,Low
22,43000,5.0,2400,10.99,0.06,4,0,3,5,1,0.01926989704162377,0,LN02134,Low
23,125000,7.0,5000,10.99,0.04,2,0,0,1,1,0.026320383831863928,0,LN15177,Low
22,32000,2.0,3000,6.99,0.09,4,0,2,3,0,0.030575555157542334,0,LN13903,Low
29,45000,0.0,10000,17.58,0.22,6,1,2,3,3,0.33142173202981956,0,LN20992,Medium
29,47800,4.0,10000,7.49,0.21,5,0,3,0,0,0.03651884240778451,0,LN24325,Low
25,35000,0.0,5000,11.71,0.14,2,0,3,3,1,0.04996565160499631,0,LN04816,Low
26,55000,10.0,2800,13.49,0.05,2,0,0,5,2,0.0560435891846052,0,LN07882,Low
26,35000,1.0,5000,14.42,0.14,2,1,0,1,3,0.43920579870443416,0,LN03033,Medium
28,49000,2.0,3600,13.98,0.07,9,1,3,5,2,0.03941687899093875,1,LN20006,Low
25,118443,7.0,4900,7.49,0.04,2,0,0,0,0,0.019564642745488275,0,LN14885,Low
24,73000,0.0,18500,7.9,0.25,2,0,3,2,0,0.031141966704951774,1,LN00933,Low
35,35000,5.0,8000,12.69,0.23,6,0,0,1,1,0.10317610297836342,0,LN19565,Low
31,74628,12.0,15000,12.99,0.2,5,0,0,0,2,0.08531193621338189,0,LN24566,Low
30,118000,5.0,10000,7.14,0.08,7,0,3,2,0,0.026234689732568223,0,LN20589,Low
30,54600,11.0,2500,9.99,0.05,7,0,0,5,1,0.02044743494305853,0,LN22344,Low
26,30000,1.0,8000,10.0,0.27,3,0,3,3,1,0.1565765221008092,0,LN08658,Low
22,53004,6.0,1500,13.79,0.03,2,0,0,1,2,0.3960006603197422,0,LN07495,Medium
32,43200,7.0,15000,7.91,0.35,7,0,0,2,0,0.10055199384962309,0,LN20829,Low
27,44004,0.0,5000,13.79,0.11,8,0,3,4,2,0.12447484806720362,1,LN20978,Low
22,60000,3.0,5000,14.22,0.08,4,0,3,4,2,0.11278636356530618,0,LN05491,Low
32,25200,0.0,5000,7.91,0.2,5,0,3,4,0,0.025492999959349293,0,LN23267,Low
35,53500,1.0,20000,12.53,0.37,7,1,0,5,2,0.04527353842595081,0,LN22225,Low
33,65000,14.0,3600,13.99,0.06,9,0,0,0,2,0.42592458315540543,0,LN23676,Medium
28,40000,2.0,3600,6.99,0.09,10,0,2,1,0,0.032511371104198356,0,LN20347,Low
38,110000,6.0,12000,12.99,0.11,11,1,2,4,2,0.04130005857004971,0,LN31593,Low
27,190000,11.0,23000,11.83,0.12,8,0,2,3,1,0.055567603670304166,0,LN18058,Low
33,140000,6.0,13000,7.51,0.09,6,0,0,3,0,0.01870606833744771,0,LN27458,Low
30,130000,14.0,7000,9.91,0.05,9,0,0,5,1,0.018166251927242385,0,LN28261,Low
38,30000,0.0,15000,14.61,0.5,15,1,3,4,3,0.920462069197447,1,LN31605,High
25,38000,8.0,16000,12.87,0.42,3,1,3,3,2,0.9377912820388102,1,LN01222,High
24,50500,7.0,9600,7.49,0.19,2,0,3,2,0,0.0402655307104725,0,LN10206,Low
28,75000,3.0,23000,10.51,0.31,9,0,3,1,1,0.9375504786595767,1,LN18272,High
30,100800,5.0,22000,12.42,0.22,7,0,0,5,1,0.020447625097993406,0,LN26412,Low
27,56525,4.0,12000,15.95,0.18,10,0,0,3,3,0.8922981899074998,1,LN28005,High
23,52000,7.0,8400,8.9,0.16,2,0,0,1,0,0.03647607819008606,0,LN07192,Low
26,41000,1.0,1300,7.9,0.03,4,0,3,3,0,0.03189738604735925,0,LN01500,Low
28,39516,0.0,5000,12.87,0.13,10,0,3,1,2,0.059620711962084544,0,LN20756,Low
31,40000,5.0,12000,11.99,0.3,5,0,3,3,1,0.051894736497623474,0,LN25165,Low
21,26124,3.0,8875,15.62,0.34,3,1,3,1,3,0.8955948623678599,1,LN05244,High
30,35000,8.0,10000,10.65,0.29,6,0,2,3,1,0.06397051413136313,0,LN19576,Low
26,67500,0.0,3000,8.88,0.04,2,0,3,1,1,0.04264089727764924,0,LN02881,Low
24,24996,0.0,4000,9.45,0.16,3,0,3,4,1,0.04621603038706005,0,LN03738,Low
24,26400,4.0,4000,13.72,0.15,2,0,3,3,2,0.5610457966630382,0,LN03756,Medium
43,175436,1.0,7000,5.99,0.04,12,0,3,2,0,0.023804299011546213,0,LN30347,Low
26,52703,5.0,4000,11.89,0.06,4,0,0,3,1,0.09363947485598328,1,LN10521,Low
21,35000,5.0,4800,10.99,0.14,3,0,0,0,1,0.10294872191693276,0,LN02902,Low
23,62900,7.0,5000,14.84,0.07,4,0,3,3,3,0.8266155034884065,1,LN05615,High
28,38000,13.0,6425,5.42,0.17,8,0,2,5,0,0.018988159380793974,0,LN20050,Low
