loan_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,default_flag
LN00116,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,0,4,1
LN00117,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,1,2,1
LN00118,22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,1,2,1
LN00119,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,0,4,1
LN00120,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,0,3,1
LN00121,22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,0,3,1
LN00122,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,1,3,1
LN00123,21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,0,2,1
LN00124,25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,0,2,0
LN00125,26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,0,4,0
LN00126,23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,0,2,0
LN00127,26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,0,2,0
LN00128,22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,0,3,1
LN00129,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,0,3,1
LN00130,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,0,2,1
LN00131,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,0,2,1
LN00132,23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,0,4,1
LN00133,22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,0,2,1
LN00134,22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,0,3,1
LN00135,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,0,4,1
LN00136,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,0,4,1
LN00137,24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,0,2,0
LN00138,23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,0,3,0
LN00139,25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,0,3,0
LN00140,26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,1,2,0
LN00141,23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,1,3,0
LN00142,26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,0,2,0
LN00143,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,0,2,1
LN00144,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,0,4,1
LN00145,22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,1,4,1
LN00146,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,1,2,1
LN00147,23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,0,2,1
LN00148,23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,0,4,0
LN00149,21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,0,4,1
LN00150,22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,0,4,0
LN00151,26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,0,4,0
LN00152,26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,0,2,1
LN00153,22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,0,4,1
LN00154,24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.45,1,4,1
LN00155,23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,0,3,1
LN00156,23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,1,3,1
LN00157,24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,1,4,1
LN00158,26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,0,2,1
LN00159,24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,0,3,0
LN00160,23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,1,3,1
LN00161,23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,0,4,1
LN00162,24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,0,3,1
LN00163,24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,0,3,1
LN00164,26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,1,2,1
LN00165,23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,15.31,1,0.29,0,3,1
LN00166,24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,0,2,0
LN00167,24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,0,2,0
LN00168,21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,0,4,0
LN00169,25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,0,4,1
LN00170,23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,0,3,1
LN00171,23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,0,4,1
LN00172,21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,0,4,1
LN00173,25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,0,2,1
LN00174,22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,1,3,1
LN00175,23,200000,MORTGAGE,7.0,EDUCATION,A,28000,7.49,0,0.14,0,2,0
LN00176,21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,0,2,0
LN00177,24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,0,4,0
LN00178,26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,0,3,0
LN00179,25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,0,2,0
LN00180,24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,0,4,0
LN00181,24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,0,2,1
LN00182,22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,1,3,1
LN00183,22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,0,4,0
LN00185,25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,0,3,0
LN00186,25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,0,2,0
LN00187,25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,0,3,0
LN00188,24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,0,3,0
LN00189,24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,16.82,1,0.42,1,2,1
LN00190,21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,0,4,1
LN00191,26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,1,2,1
LN00192,23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,0,4,1
LN00193,24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,0,3,1
LN00194,24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,1,3,1
LN00195,25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,0,2,1
LN00196,25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,0,3,0
LN00197,26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,0,2,1
LN00198,26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,0,3,0
LN00199,25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,0,3,1
LN00200,22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,0,3,1
LN00201,24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,0,4,1
LN00202,24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,0,3,1
LN00203,24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,0,4,1
LN00204,25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,1,2,1
LN00205,26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,0,4,1
LN00206,25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,0,2,1
LN00207,25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,0,2,1
LN00208,23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,0,3,1
LN00209,25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,0,2,1
LN00210,24,192000,RENT,0.0,MEDICAL,C,22000,13.48,0,0.11,1,2,0
LN00211,21,192000,MORTGAGE,60.0,VENTURE,A,20000,6.54,0,0.1,0,4,0
LN00212,25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,0,4,0
LN00213,26,190300,MORTGAGE,5.0,PERSONAL,A,15000,7.49,0,0.08,0,3,0
LN00214,22,190000,MORTGAGE,3.0,VENTURE,C,10000,13.48,0,0.05,0,3,0
LN00215,24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,0,4,1
LN00216,22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,1,4,1
LN00217,26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,0,4,0
LN00218,23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,0,3,0
LN00219,23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,13.48,1,0.32,1,2,1
LN00220,23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,0,3,1
LN00221,23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,0,3,1
LN00222,25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,0,4,0
LN00223,24,185000,MORTGAGE,4.0,EDUCATION,B,35000,12.42,0,0.19,0,2,0
LN00224,25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,0,2,0
LN00225,24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,1,2,1
LN00226,23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,1,2,1
LN00227,21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,0,2,1
LN00228,24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,1,2,1
LN00229,24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,0,4,1
LN00230,21,14400,MORTGAGE,0.0,MEDICAL,C,1500,13.48,0,0.1,0,4,0
LN00231,24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,0,2,1
LN00232,26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,0,4,1
LN00233,22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,0,2,0
LN00234,26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,0,2,0
LN00235,24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,1,4,0
LN00236,23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,0,2,0
LN00237,24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,1,4,1
LN00238,24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,0,3,0
LN00239,22,183000,MORTGAGE,3.0,EDUCATION,A,1000,7.49,0,0.01,0,2,0
LN00240,25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,0,3,0
LN00241,23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,0,4,1
LN00242,26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,15.31,1,0.34,1,4,1
LN00243,25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,0,3,1
LN00244,23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,0,3,1
LN00245,24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,0,2,0
LN00246,24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,0,3,0
LN00247,24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,1,3,0
LN00248,24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,1,4,0
LN00249,23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,0,3,0
LN00250,23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,0,2,1
LN00251,22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,0,4,0
LN00252,22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,0,4,0
LN00253,24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,0,4,0
LN00254,24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,0,2,0
LN00255,26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,0,4,0
LN00256,25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,0,4,1
LN00257,23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,13.48,1,0.41,0,4,1
LN00258,24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,0,3,0
LN00259,24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,1,3,1
LN00260,23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,0,4,1
LN00261,23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,1,2,1
LN00262,25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,0,4,0
LN00263,21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,0,2,1
LN00264,26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,0,4,0
LN00265,24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,0,3,0
LN00266,25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,1,4,0
LN00267,26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,0,4,0
LN00268,25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,0,2,0
LN00269,23,15000,OWN,7.0,MEDICAL,B,4475,10.99,1,0.3,0,4,1
LN00270,23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,1,3,1
LN00271,25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,1,4,1
LN00272,23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,0,3,0
LN00273,24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,1,4,1
LN00274,24,91800,RENT,4.0,PERSONAL,C,25000,13.43,0,0.27,1,3,0
LN00275,25,92000,RENT,6.0,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,0,3,0
LN00276,24,92000,RENT,1.0,VENTURE,C,25000,12.73,0,0.27,1,4,0
LN00277,23,93600,RENT,3.0,VENTURE,D,25000,15.21,0,0.27,0,4,0
LN00278,23,15000,MORTGAGE,1.0,MEDICAL,C,1750,12.68,0,0.12,1,3,0
LN00279,23,70550,RENT,3.0,MEDICAL,F,25000,19.04,1,0.3,1,4,1
LN00280,25,83800,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.95,1,0.3,1,3,1
LN00281,26,175000,MORTGAGE,3.0,VENTURE,A,2600,8.9,0,0.01,0,4,0
LN00282,25,175000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,7.9,0,0.05,0,2,0
LN00283,22,175000,MORTGAGE,6.0,EDUCATION,B,18000,10.99,0,0.1,0,2,0
LN00284,23,175000,MORTGAGE,8.0,PERSONAL,B,21000,11.99,0,0.12,0,3,0
LN00285,23,15000,OWN,4.0,DEBTCONSOLIDATION,C,4000,13.98,1,0.27,0,4,1
