loan_id,application_date,applicant_age,employment_status,annual_income,loan_amount,loan_tenure,credit_score,existing_emi,loan_purpose,branch,loan_status,default_flag
LN00065,21-03-2024,62,Unemployed,318862,369755,24,423,2,Business,Pune,Rejected,0
LN00066,19-07-2025,24,Salaried,489756,525804,36,737,3,Education,Ahmedabad,Closed,0
LN00067,27-10-2024,49,Self-Employed,1598560,1946892,36,694,2,Home Renovation,Pune,Approved,0
LN00068,29-04-2026,38,Unemployed,162518,58804,60,633,5,Business,Delhi,Closed,0
LN00069,05-10-2025,46,Salaried,573627,643765,24,771,0,Medical,Pune,Approved,0
LN00070,25-09-2025,64,Salaried,284162,351206,48,814,1,Medical,Pune,Closed,0
LN00071,01-06-2026,54,Salaried,578429,355588,36,841,0,Vehicle,Hyderabad,Closed,0
LN00072,05-01-2025,30,Retired,512091,514391,60,525,0,Business,Chennai,Defaulted,1
LN00073,14-08-2025,56,Retired,705061,455172,36,540,3,Vehicle,Kolkata,Closed,0
LN00074,15-07-2024,34,Self-Employed,1968699,2665162,36,592,5,Business,Mumbai,Defaulted,1
LN00075,22-12-2025,51,Salaried,385024,129662,36,849,0,Education,Hyderabad,Closed,0
LN00076,12-03-2024,35,Self-Employed,548901,514744,48,555,0,Business,Mumbai,Closed,0
LN00077,16-02-2024,28,Retired,687651,332241,60,752,0,Home Renovation,Ahmedabad,Rejected,0
LN00078,08-11-2025,34,Self-Employed,796741,863222,12,735,3,Medical,Bangalore,Approved,0
LN00079,21-08-2024,43,Unemployed,225601,111329,12,613,0,Education,Delhi,Approved,0
LN00080,02-03-2026,60,Retired,464127,259410,60,725,0,Medical,Ahmedabad,Approved,0
LN00081,23-10-2024,41,Self-Employed,220516,186073,36,563,0,Vehicle,Chennai,Closed,0
LN00082,22-03-2024,36,Self-Employed,213695,279153,36,610,1,Education,Hyderabad,Rejected,0
LN00083,25-05-2026,65,Salaried,637509,339719,36,835,4,Home Renovation,Delhi,Closed,0
LN00084,26-08-2024,38,Salaried,551341,252880,12,612,0,Medical,Pune,Approved,0
LN00085,13-04-2024,67,Self-Employed,840089,953395,48,602,1,Business,Chennai,Closed,0
LN00086,24-01-2025,44,Salaried,519443,441880,48,801,0,Business,Ahmedabad,Approved,0
LN00087,11-10-2024,46,Retired,352412,459180,24,540,1,Business,Chennai,Closed,0
LN00088,09-04-2025,45,Unemployed,109404,50465,24,627,2,Education,Kolkata,Approved,0
LN00089,12-10-2025,65,Self-Employed,1265901,1279219,48,649,0,Home Renovation,Ahmedabad,Defaulted,1
LN00090,04-05-2026,61,Salaried,559555,311206,12,694,0,Home Renovation,Ahmedabad,Approved,0
LN00091,08-01-2025,49,Salaried,365385,172621,60,627,3,Home Renovation,Bangalore,Approved,0
LN00092,15-06-2024,35,Salaried,539580,567515,24,802,0,Medical,Kolkata,Closed,0
LN00093,14-01-2025,65,Self-Employed,524067,499463,36,590,2,Education,Kolkata,Closed,0
LN00094,29-12-2024,21,Self-Employed,756877,855505,60,569,1,Business,Mumbai,Approved,0
LN00095,02-08-2024,45,Unemployed,208570,133570,36,494,0,Medical,Mumbai,Rejected,0
LN00096,17-11-2025,27,Salaried,339984,269528,36,798,2,Home Renovation,Pune,Approved,0
LN00097,30-09-2024,29,Retired,402191,300042,36,651,3,Business,Delhi,Defaulted,1
LN00098,19-12-2025,44,Retired,694755,960497,24,795,1,Education,Bangalore,Closed,0
LN00099,30-11-2025,21,Salaried,457232,284157,24,532,0,Vehicle,Ahmedabad,Approved,0
LN00100,25-10-2025,64,Retired,738051,460764,60,522,1,Home Renovation,Chennai,Rejected,0
LN00101,14-03-2024,28,Salaried,704001,485762,48,743,1,Home Renovation,Pune,Approved,0
LN00102,15-09-2025,44,Salaried,301027,277261,36,694,1,Home Renovation,Bangalore,Closed,0
LN00103,12-10-2025,31,Self-Employed,675323,390036,24,609,2,Home Renovation,Bangalore,Defaulted,1
LN00104,24-06-2024,37,Salaried,1549026,2024296,12,760,0,Business,Ahmedabad,Closed,0
LN00105,30-06-2025,28,Self-Employed,1286005,761641,12,554,1,Education,Ahmedabad,Approved,0
LN00106,16-01-2026,55,Self-Employed,500373,643178,36,533,1,Medical,Delhi,Approved,0
LN00107,07-09-2024,55,Self-Employed,473655,196009,48,714,0,Business,Mumbai,Approved,0
LN00108,16-06-2024,53,Salaried,367163,375320,36,825,2,Education,Ahmedabad,Closed,0
LN00109,18-04-2025,25,Self-Employed,1062862,1379259,48,732,0,Medical,Bangalore,Approved,0
LN00110,23-01-2025,62,Self-Employed,1597902,775980,12,522,0,Home Renovation,Bangalore,Rejected,0
LN00111,03-10-2024,59,Self-Employed,909083,1241043,24,698,4,Education,Bangalore,Closed,0
LN00112,17-10-2025,61,Salaried,524774,418859,24,559,0,Home Renovation,Hyderabad,Approved,0
LN00113,05-12-2025,48,Salaried,400364,536602,36,683,0,Education,Bangalore,Approved,0
LN00114,24-07-2025,27,Self-Employed,791080,826284,12,826,1,Vehicle,Bangalore,Approved,0
LN00115,12-08-2024,29,Salaried,338048,213560,60,754,5,Home Renovation,Ahmedabad,Approved,0
LN00116,02-12-2025,28,Self-Employed,227596,115421,24,776,5,Home Renovation,Chennai,Approved,0
LN00117,28-11-2024,32,Self-Employed,1623758,1029638,60,635,1,Home Renovation,Kolkata,Closed,0
LN00118,13-05-2026,54,Self-Employed,379573,152709,36,571,0,Business,Hyderabad,Approved,0
LN00119,25-02-2026,53,Self-Employed,552021,252966,60,661,3,Medical,Bangalore,Approved,0
LN00120,05-03-2026,43,Unemployed,340349,141287,36,485,1,Home Renovation,Kolkata,Defaulted,1
LN00121,27-02-2024,44,Retired,677530,518471,60,565,1,Home Renovation,Bangalore,Approved,0
LN00122,22-08-2024,57,Retired,691441,812537,12,757,3,Business,Delhi,Closed,0
LN00123,21-04-2026,55,Retired,731201,333078,48,529,1,Business,Ahmedabad,Rejected,0
LN00124,02-02-2024,64,Salaried,656948,291259,60,671,0,Vehicle,Ahmedabad,Approved,0
LN00125,04-04-2026,60,Salaried,285737,287957,24,580,3,Education,Delhi,Defaulted,1
LN00126,19-11-2024,42,Self-Employed,559198,289050,12,537,1,Home Renovation,Kolkata,Approved,0
LN00127,14-02-2025,47,Salaried,360296,146774,36,605,0,Education,Ahmedabad,Closed,0
LN00128,01-10-2024,55,Self-Employed,646277,312496,60,656,0,Business,Hyderabad,Defaulted,1
LN00129,08-03-2024,21,Salaried,851192,1120257,36,749,1,Business,Chennai,Closed,0
LN00130,04-08-2024,55,Self-Employed,163478,196765,36,647,0,Vehicle,Hyderabad,Approved,0
LN00131,03-08-2025,57,Self-Employed,526357,362907,24,623,0,Medical,Hyderabad,Approved,0
LN00132,05-01-2026,67,Self-Employed,505737,516561,12,705,2,Business,Delhi,Closed,0
LN00133,18-11-2024,34,Self-Employed,330638,294599,48,697,3,Home Renovation,Delhi,Closed,0
LN00134,05-08-2024,23,Retired,305863,319576,12,525,1,Vehicle,Chennai,Rejected,0
LN00135,02-11-2025,21,Salaried,636328,668741,36,826,2,Medical,Pune,Approved,0
LN00136,26-05-2025,25,Retired,423115,419563,60,555,2,Vehicle,Pune,Approved,0
LN00137,09-02-2025,46,Salaried,399543,236813,24,846,2,Business,Pune,Approved,0
LN00138,20-10-2025,34,Unemployed,343347,117736,36,499,0,Medical,Bangalore,Rejected,0
LN00139,14-04-2025,59,Self-Employed,1202290,963182,12,800,3,Education,Chennai,Approved,0
LN00140,26-05-2024,47,Salaried,398214,509742,36,819,1,Medical,Bangalore,Approved,0
LN00141,28-09-2024,29,Salaried,530535,491512,24,533,0,Home Renovation,Kolkata,Approved,0
LN00142,22-05-2024,35,Self-Employed,915537,1112954,48,756,0,Education,Kolkata,Rejected,0
LN00143,09-09-2024,35,Salaried,380468,529149,24,804,2,Education,Mumbai,Approved,0
LN00144,01-02-2026,46,Salaried,406017,194879,36,849,0,Home Renovation,Pune,Approved,0
LN00145,28-07-2025,62,Self-Employed,396454,420620,36,569,0,Education,Delhi,Approved,0
LN00146,05-07-2025,33,Self-Employed,648688,675753,24,780,2,Business,Mumbai,Rejected,0
LN00147,26-09-2024,52,Self-Employed,413893,570324,48,629,3,Medical,Mumbai,Rejected,0
LN00148,03-02-2026,59,Unemployed,310534,429828,24,596,2,Medical,Delhi,Rejected,0
LN00149,21-08-2025,52,Self-Employed,1053984,1112318,36,771,0,Home Renovation,Ahmedabad,Approved,0
LN00150,14-03-2025,24,Self-Employed,1506522,855668,24,607,0,Business,Mumbai,Rejected,0
LN00151,20-08-2025,50,Salaried,472482,556778,36,832,2,Education,Ahmedabad,Approved,0
LN00152,12-02-2025,57,Self-Employed,337875,141141,24,545,0,Medical,Pune,Approved,0
LN00153,05-01-2025,43,Salaried,355934,412445,36,781,2,Medical,Hyderabad,Closed,0
LN00154,12-08-2024,59,Unemployed,280359,364807,24,543,0,Medical,Ahmedabad,Defaulted,1
LN00155,21-05-2024,65,Retired,667122,481072,48,579,3,Medical,Bangalore,Rejected,0
LN00156,05-06-2025,35,Self-Employed,1148998,1141757,24,787,1,Vehicle,Pune,Closed,0
LN00157,20-05-2025,63,Salaried,454825,351651,60,594,0,Home Renovation,Ahmedabad,Defaulted,1
LN00158,03-04-2024,49,Retired,695150,543288,60,522,3,Education,Chennai,Rejected,0
LN00159,12-02-2026,56,Self-Employed,1166730,748349,24,582,0,Education,Delhi,Closed,0
LN00160,18-02-2024,33,Salaried,738167,840286,36,755,0,Home Renovation,Hyderabad,Approved,0
LN00161,31-05-2026,52,Salaried,381820,507742,12,748,3,Business,Kolkata,Closed,0
LN00162,22-04-2024,27,Self-Employed,618949,826189,24,794,0,Home Renovation,Chennai,Approved,0
LN00163,05-06-2024,42,Salaried,367323,180818,48,537,1,Medical,Chennai,Defaulted,1
LN00164,04-10-2025,48,Retired,496536,626736,36,599,0,Medical,Ahmedabad,Approved,0
LN00165,12-06-2024,22,Salaried,383465,426096,36,734,0,Home Renovation,Chennai,Approved,0
LN00166,22-03-2026,62,Salaried,299123,172929,24,690,0,Home Renovation,Mumbai,Approved,0
LN00167,27-11-2025,65,Retired,671234,251050,24,848,2,Education,Mumbai,Approved,0
LN00168,08-03-2025,26,Salaried,528756,314502,24,774,2,Education,Mumbai,Closed,0
LN00169,02-09-2025,48,Self-Employed,372692,485777,48,645,0,Vehicle,Pune,Approved,0
LN00170,06-03-2024,48,Salaried,492597,490871,36,774,0,Vehicle,Ahmedabad,Approved,0
LN00171,29-01-2025,64,Salaried,417305,456181,48,591,4,Medical,Mumbai,Approved,0
LN00172,25-01-2025,64,Self-Employed,2101599,1224953,24,557,5,Vehicle,Hyderabad,Approved,0
LN00173,02-09-2025,40,Self-Employed,531672,580227,24,843,1,Vehicle,Mumbai,Approved,0
LN00174,24-04-2025,50,Self-Employed,1818383,601764,24,723,3,Business,Ahmedabad,Approved,0
LN00175,25-06-2025,31,Self-Employed,911478,649750,12,691,2,Home Renovation,Delhi,Closed,0
LN00176,14-09-2024,48,Self-Employed,424725,420235,24,742,0,Education,Chennai,Approved,0
LN00177,20-07-2025,45,Salaried,567425,261416,48,736,0,Vehicle,Hyderabad,Approved,0
LN00178,31-05-2026,59,Salaried,426349,513880,60,764,0,Education,Ahmedabad,Closed,0
LN00179,12-01-2024,53,Retired,440246,245892,36,710,3,Vehicle,Kolkata,Approved,0
LN00180,27-11-2025,21,Self-Employed,754029,767231,36,817,2,Vehicle,Mumbai,Approved,0
LN00181,08-01-2026,47,Self-Employed,1559052,1162611,12,839,2,Medical,Kolkata,Approved,0
LN00182,27-04-2024,33,Salaried,432225,413054,60,701,0,Business,Chennai,Approved,0
LN00183,29-11-2025,61,Salaried,438220,183261,12,724,2,Home Renovation,Hyderabad,Closed,0
LN00184,03-07-2025,23,Self-Employed,559662,178310,60,718,2,Home Renovation,Chennai,Approved,0
LN00185,07-02-2026,59,Retired,373728,486041,36,684,3,Medical,Kolkata,Closed,0
LN00186,30-09-2024,26,Self-Employed,675773,403161,24,761,0,Medical,Pune,Rejected,0
LN00187,26-02-2026,28,Retired,394972,474616,60,649,2,Home Renovation,Hyderabad,Approved,0
LN00188,18-10-2025,47,Self-Employed,1382732,1934836,12,746,0,Home Renovation,Bangalore,Approved,0
LN00189,14-12-2024,29,Salaried,417467,222332,36,641,2,Business,Pune,Approved,0
LN00190,24-04-2024,57,Salaried,1636554,968329,36,563,2,Vehicle,Hyderabad,Approved,0
LN00191,27-10-2024,53,Salaried,280696,288877,24,715,0,Business,Mumbai,Closed,0
LN00192,21-03-2025,62,Salaried,658240,896518,36,723,2,Home Renovation,Ahmedabad,Closed,0
LN00193,10-06-2024,64,Retired,464566,607371,36,837,0,Vehicle,Kolkata,Approved,0
LN00194,09-04-2025,44,Self-Employed,695520,593391,48,776,3,Home Renovation,Chennai,Approved,0
LN00195,04-01-2024,35,Self-Employed,724902,851485,12,536,0,Business,Ahmedabad,Approved,0
LN00196,09-01-2026,52,Salaried,361718,162527,60,791,2,Business,Chennai,Closed,0
LN00197,06-01-2026,52,Salaried,408202,561352,24,528,4,Business,Chennai,Defaulted,1
LN00198,26-09-2024,44,Salaried,443503,603513,24,768,0,Vehicle,Delhi,Closed,0
LN00199,27-05-2025,61,Salaried,542189,260305,24,720,1,Education,Delhi,Approved,0
LN00200,19-02-2026,32,Self-Employed,648995,408455,12,578,1,Education,Mumbai,Closed,0
LN00201,01-07-2024,59,Salaried,828908,339993,24,659,0,Home Renovation,Bangalore,Approved,0
LN00202,03-06-2025,22,Self-Employed,1051696,629849,60,638,1,Vehicle,Ahmedabad,Closed,0
LN00203,18-04-2024,23,Salaried,447598,536021,24,560,2,Medical,Delhi,Closed,0
LN00204,02-10-2025,57,Salaried,910548,652086,24,841,3,Education,Hyderabad,Approved,0
LN00205,01-11-2024,37,Salaried,1135813,451186,24,786,3,Vehicle,Pune,Closed,0
LN00206,11-05-2026,22,Self-Employed,214463,145073,48,527,1,Vehicle,Kolkata,Defaulted,1
LN00207,16-10-2025,22,Self-Employed,1102134,1520417,60,702,2,Education,Mumbai,Approved,0
LN00208,03-06-2025,48,Salaried,357953,355322,24,653,3,Vehicle,Pune,Defaulted,1
LN00209,15-09-2025,43,Salaried,701051,531240,12,700,1,Vehicle,Bangalore,Approved,0
LN00210,22-07-2024,57,Self-Employed,1304109,630135,24,591,0,Education,Pune,Rejected,0
LN00211,05-06-2024,52,Salaried,329507,456299,12,632,1,Business,Ahmedabad,Defaulted,1
LN00212,17-01-2025,53,Salaried,212448,255560,24,626,3,Home Renovation,Hyderabad,Closed,0
LN00213,19-02-2026,21,Retired,400872,244381,36,809,1,Medical,Chennai,Closed,0
LN00214,14-06-2024,39,Self-Employed,1044959,394028,24,832,2,Home Renovation,Delhi,Approved,0
LN00215,06-07-2025,22,Salaried,1492144,540586,36,636,0,Business,Hyderabad,Approved,0
LN00216,08-03-2026,64,Retired,533006,230480,24,639,4,Business,Bangalore,Closed,0
LN00217,27-06-2025,46,Self-Employed,2296620,2156171,60,666,1,Vehicle,Mumbai,Closed,0
LN00218,01-01-2024,52,Salaried,558652,738336,60,846,2,Home Renovation,Pune,Closed,0
LN00219,05-09-2025,26,Self-Employed,811280,686681,36,729,0,Business,Hyderabad,Closed,0
LN00220,27-11-2024,52,Self-Employed,1389855,1705685,24,815,0,Home Renovation,Ahmedabad,Approved,0
LN00221,15-05-2025,24,Salaried,666636,526959,24,622,2,Business,Mumbai,Approved,0
LN00222,20-01-2024,31,Salaried,458717,495158,36,643,4,Medical,Chennai,Defaulted,1
LN00223,24-04-2024,37,Salaried,287004,317156,48,764,0,Business,Bangalore,Approved,0
LN00224,06-01-2025,58,Self-Employed,445520,218910,36,728,0,Home Renovation,Bangalore,Closed,0
LN00225,01-05-2026,44,Salaried,434622,303078,60,833,1,Vehicle,Pune,Approved,0
LN00226,06-04-2026,25,Retired,449737,450201,60,628,0,Home Renovation,Delhi,Closed,0
LN00227,10-11-2024,54,Self-Employed,713652,269593,24,569,0,Education,Kolkata,Approved,0
LN00228,02-09-2024,26,Salaried,633246,441812,36,624,2,Home Renovation,Bangalore,Defaulted,1
LN00229,29-02-2024,42,Self-Employed,992700,881794,12,546,4,Medical,Ahmedabad,Closed,0
LN00230,03-09-2024,31,Salaried,766406,1069785,24,807,0,Medical,Hyderabad,Rejected,0
LN00231,03-08-2025,36,Self-Employed,1403759,1153871,36,776,1,Medical,Ahmedabad,Approved,0
LN00232,21-03-2024,53,Self-Employed,921709,1103896,24,792,0,Business,Hyderabad,Closed,0
LN00233,28-03-2024,29,Salaried,1143153,886256,60,656,0,Medical,Hyderabad,Rejected,0
LN00234,19-01-2026,26,Self-Employed,704840,828912,24,820,0,Home Renovation,Chennai,Closed,0
LN00235,12-05-2025,36,Salaried,452256,431884,36,841,1,Vehicle,Bangalore,Closed,0
LN00236,15-04-2026,49,Salaried,642606,819486,36,551,0,Medical,Bangalore,Approved,0
LN00237,11-03-2024,23,Salaried,443571,333581,36,564,1,Home Renovation,Hyderabad,Approved,0
LN00238,17-02-2026,40,Salaried,1125405,1085717,24,784,0,Business,Pune,Approved,0
LN00239,29-06-2025,56,Unemployed,185402,184107,60,429,0,Business,Ahmedabad,Rejected,0
LN00240,23-02-2026,39,Salaried,521031,395525,36,603,0,Vehicle,Delhi,Defaulted,1
LN00241,08-05-2024,46,Salaried,187445,85989,36,685,3,Vehicle,Pune,Approved,0
LN00242,11-05-2024,23,Self-Employed,1007027,405746,12,835,2,Home Renovation,Delhi,Approved,0
LN00243,06-11-2025,39,Salaried,538707,171491,36,520,3,Vehicle,Bangalore,Rejected,0
LN00244,01-05-2025,40,Unemployed,207449,261569,48,404,1,Vehicle,Pune,Rejected,0
LN00245,16-07-2025,52,Self-Employed,520166,291356,36,582,0,Business,Ahmedabad,Approved,0
LN00246,18-06-2024,27,Self-Employed,784613,417929,48,683,1,Home Renovation,Bangalore,Approved,0
LN00247,28-09-2024,61,Salaried,257424,285647,36,840,0,Vehicle,Mumbai,Approved,0
LN00248,24-06-2025,53,Salaried,704900,459607,24,720,2,Home Renovation,Bangalore,Approved,0
LN00249,13-09-2025,60,Salaried,344612,295211,12,741,0,Medical,Pune,Defaulted,1
LN00250,09-03-2025,59,Retired,548783,262736,24,671,0,Business,Ahmedabad,Approved,0
LN00251,04-08-2024,38,Salaried,667968,905577,36,651,1,Business,Hyderabad,Closed,0
LN00252,06-07-2025,60,Salaried,546959,676445,48,633,1,Business,Kolkata,Defaulted,1
LN00253,12-02-2026,21,Unemployed,278487,348155,24,605,5,Education,Chennai,Rejected,0
LN00254,17-01-2026,31,Self-Employed,403761,301791,36,736,1,Home Renovation,Ahmedabad,Defaulted,1
LN00255,07-12-2025,48,Salaried,541004,615985,36,715,2,Medical,Bangalore,Rejected,0
LN00256,24-07-2024,45,Salaried,608321,278771,36,800,0,Vehicle,Bangalore,Approved,0
LN00257,31-12-2025,43,Unemployed,317434,98239,24,601,5,Medical,Hyderabad,Closed,0
LN00258,15-11-2024,51,Salaried,399310,128565,24,654,1,Home Renovation,Ahmedabad,Approved,0
LN00259,12-02-2025,50,Self-Employed,1317744,1245613,24,753,2,Business,Mumbai,Approved,0
LN00260,18-11-2025,62,Self-Employed,491671,393796,12,660,0,Education,Kolkata,Closed,0
LN00261,27-10-2025,55,Salaried,574528,499734,24,715,2,Home Renovation,Ahmedabad,Approved,0
LN00262,17-01-2025,27,Self-Employed,441517,136079,12,562,0,Home Renovation,Bangalore,Rejected,0
LN00263,24-03-2025,36,Salaried,687670,526036,36,576,1,Vehicle,Delhi,Rejected,0
LN00264,13-06-2025,46,Salaried,665622,725444,24,661,3,Medical,Delhi,Approved,0
LN00265,07-04-2025,22,Self-Employed,1824350,1435696,60,729,5,Medical,Delhi,Closed,0
LN00266,03-05-2024,21,Retired,540198,597157,24,591,1,Vehicle,Chennai,Closed,0
LN00267,10-09-2024,32,Self-Employed,591695,329172,24,743,3,Education,Chennai,Approved,0
LN00268,18-08-2024,25,Self-Employed,934841,1116626,24,546,0,Business,Ahmedabad,Defaulted,1
LN00269,06-03-2024,57,Salaried,810055,767344,12,647,3,Business,Kolkata,Closed,0
LN00270,12-12-2024,52,Salaried,338310,179926,48,625,2,Education,Bangalore,Rejected,0
LN00271,22-01-2024,29,Salaried,335946,188261,12,684,1,Vehicle,Bangalore,Approved,0
LN00272,25-08-2025,61,Salaried,459235,455025,60,734,3,Home Renovation,Bangalore,Approved,0
LN00273,21-07-2025,55,Salaried,370699,449633,60,590,3,Medical,Chennai,Rejected,0
LN00274,23-08-2024,39,Salaried,233616,176891,36,723,0,Home Renovation,Kolkata,Closed,0
LN00275,25-08-2025,36,Salaried,312241,182389,36,672,2,Medical,Bangalore,Approved,0
LN00276,13-08-2024,23,Salaried,280816,352062,36,586,0,Home Renovation,Hyderabad,Approved,0
LN00277,08-01-2024,40,Self-Employed,1282918,1329353,24,609,3,Vehicle,Mumbai,Defaulted,1
LN00278,13-03-2024,44,Retired,521365,413387,36,779,2,Vehicle,Pune,Approved,0
LN00279,25-12-2025,53,Salaried,1052072,880258,12,747,0,Education,Ahmedabad,Closed,0
LN00280,08-10-2025,44,Unemployed,232482,121979,12,478,2,Home Renovation,Ahmedabad,Rejected,0
LN00281,01-03-2024,31,Retired,461127,456277,36,615,1,Home Renovation,Delhi,Closed,0
LN00282,22-08-2024,28,Salaried,722967,502184,36,849,1,Education,Delhi,Closed,0
