loan_id,applicant_age,employment_status,annual_income,loan_amount,loan_tenure_months,credit_score,existing_emis,loan_purpose,branch,default_flag
LN00032,32,Salaried,485352,573207,48,745,3,Vehicle,Bangalore,0
LN00033,33,Self-Employed,787069,298641,12,675,1,Home,Delhi,0
LN00034,22,Self-Employed,277647,466849,24,553,0,Home,Hyderabad,0
LN00035,54,Salaried,626235,485507,36,661,4,Medical,Kolkata,0
LN00036,62,Self-Employed,554733,848537,48,574,4,Education,Mumbai,1
LN00037,53,Salaried,450581,235911,36,734,4,Business,Bangalore,0
LN00038,42,Salaried,327935,377264,60,687,3,Vehicle,Delhi,0
LN00039,62,Unemployed,592142,358178,36,786,4,Vehicle,Kolkata,0
LN00040,61,Self-Employed,638363,573916,36,443,6,Business,Chennai,1
LN00041,44,Unemployed,590351,532343,36,632,5,Education,Pune,1
LN00042,44,Salaried,833562,271935,24,800,2,Medical,Chennai,0
LN00043,30,Unemployed,403624,586671,24,662,2,Education,Mumbai,1
LN00044,64,Unemployed,437021,397178,36,581,4,Business,Mumbai,0
LN00045,49,Self-Employed,575551,449398,24,740,3,Medical,Kolkata,0
LN00046,56,Salaried,799889,357399,24,671,0,Medical,Delhi,0
LN00047,37,Unemployed,100000,1188621,36,502,5,Medical,Bangalore,1
LN00048,41,Salaried,838079,349798,36,701,1,Education,Mumbai,0
LN00049,38,Salaried,688977,352281,36,612,2,Education,Pune,1
LN00050,28,Salaried,530281,543555,36,815,3,Medical,Hyderabad,0
LN00051,30,Self-Employed,631321,648147,24,699,1,Home,Bangalore,0
LN00052,58,Unemployed,372593,100000,24,521,5,Business,Kolkata,1
LN00053,52,Self-Employed,624111,173251,36,666,2,Home,Pune,0
LN00054,23,Self-Employed,444751,561329,12,665,6,Business,Chennai,1
LN00055,26,Self-Employed,301659,363753,12,584,0,Business,Chennai,0
LN00056,42,Self-Employed,388321,192730,12,805,3,Medical,Bangalore,0
LN00057,27,Self-Employed,608072,561302,12,679,1,Business,Mumbai,0
LN00058,57,Self-Employed,403454,578062,12,542,3,Business,Delhi,0
LN00059,51,Salaried,494237,406045,12,670,1,Business,Chennai,0
LN00060,24,Self-Employed,491853,638920,24,717,3,Education,Chennai,1
LN00061,23,Salaried,794827,884014,48,685,2,Education,Pune,0
LN00062,47,Salaried,603324,516122,12,698,2,Home,Mumbai,0
LN00063,33,Salaried,659669,232549,12,744,0,Home,Hyderabad,0
LN00064,48,Salaried,566027,574928,60,735,4,Business,Kolkata,0
LN00065,33,Retired,708529,566005,48,651,1,Home,Bangalore,0
LN00066,28,Salaried,343704,388117,60,742,0,Vehicle,Delhi,0
LN00067,31,Salaried,595103,185822,12,618,1,Home,Delhi,0
LN00068,32,Salaried,865512,384311,60,702,3,Home,Hyderabad,0
LN00069,61,Self-Employed,465964,979029,60,577,4,Vehicle,Mumbai,1
LN00070,25,Self-Employed,472413,326892,48,738,3,Vehicle,Bangalore,0
LN00071,58,Salaried,568386,411235,48,575,4,Education,Hyderabad,0
LN00072,55,Salaried,556253,1061639,12,532,5,Business,Delhi,1
LN00073,37,Salaried,433868,391340,12,696,4,Business,Chennai,0
LN00074,58,Salaried,723985,114518,36,707,1,Education,Mumbai,0
LN00075,23,Retired,616879,270471,36,709,3,Education,Kolkata,0
LN00076,28,Unemployed,447536,722094,60,489,2,Vehicle,Kolkata,1
LN00077,23,Salaried,813546,650892,48,614,0,Home,Kolkata,0
LN00078,46,Self-Employed,840947,372418,48,496,3,Vehicle,Delhi,0
LN00079,60,Retired,469945,525810,60,588,2,Vehicle,Delhi,1
LN00080,32,Salaried,472812,398568,12,615,3,Medical,Pune,0
LN00081,39,Self-Employed,651813,530332,48,521,2,Education,Mumbai,1
LN00082,44,Salaried,909692,378771,60,752,1,Business,Bangalore,0
LN00083,34,Salaried,531126,555215,24,778,2,Vehicle,Kolkata,0
LN00084,58,Retired,626233,569642,24,657,4,Vehicle,Chennai,0
LN00085,38,Unemployed,555446,359483,36,675,4,Business,Kolkata,0
LN00086,54,Salaried,516507,415657,24,792,4,Home,Delhi,0
LN00087,44,Self-Employed,381772,680417,12,731,3,Vehicle,Bangalore,0
LN00088,34,Self-Employed,509883,585288,48,780,2,Vehicle,Mumbai,1
LN00089,42,Salaried,485132,399316,60,639,4,Medical,Pune,1
LN00090,50,Salaried,696855,669748,36,670,4,Education,Bangalore,0
LN00091,24,Unemployed,573666,619288,60,726,0,Vehicle,Kolkata,0
LN00092,29,Salaried,450011,491540,36,705,0,Business,Bangalore,0
LN00093,22,Salaried,622390,428097,48,631,2,Home,Kolkata,1
LN00094,27,Salaried,366678,398640,12,607,4,Medical,Pune,1
LN00095,31,Retired,587826,360083,24,658,3,Education,Mumbai,0
LN00096,40,Salaried,718890,198459,12,714,4,Vehicle,Pune,0
LN00097,45,Salaried,605100,502134,36,643,1,Medical,Pune,0
LN00098,51,Self-Employed,718824,275890,60,834,1,Medical,Pune,0
LN00099,34,Salaried,517719,100000,60,720,4,Education,Delhi,0
LN00100,50,Self-Employed,426352,560459,12,711,0,Business,Pune,0
LN00101,57,Salaried,499612,505979,48,666,0,Vehicle,Chennai,0
LN00102,63,Self-Employed,759875,632564,24,809,0,Home,Mumbai,0
LN00103,33,Retired,442843,443459,36,421,2,Medical,Delhi,1
LN00104,59,Salaried,896816,342209,24,673,4,Vehicle,Chennai,0
LN00105,44,Retired,258487,736863,12,656,5,Education,Pune,1
LN00106,24,Self-Employed,506684,237888,12,700,1,Home,Bangalore,0
LN00107,38,Self-Employed,671385,319694,48,564,4,Business,Mumbai,0
LN00108,32,Self-Employed,421969,789314,36,694,3,Business,Pune,1
LN00109,36,Self-Employed,964995,499239,60,706,2,Home,Hyderabad,0
LN00110,30,Self-Employed,587449,588876,36,357,5,Medical,Pune,1
LN00111,28,Salaried,776502,226721,24,707,3,Home,Hyderabad,0
LN00112,62,Self-Employed,577606,493541,48,604,1,Vehicle,Chennai,0
LN00113,39,Self-Employed,714066,623580,36,631,4,Education,Pune,0
LN00114,40,Salaried,774038,290232,60,684,0,Vehicle,Delhi,0
LN00115,57,Self-Employed,483061,304136,12,738,0,Business,Mumbai,0
LN00116,60,Unemployed,296815,439628,36,388,2,Education,Mumbai,1
LN00117,22,Salaried,718765,365413,24,692,4,Vehicle,Delhi,0
LN00118,46,Retired,419003,340004,48,612,0,Medical,Hyderabad,0
LN00119,37,Salaried,246021,522308,48,657,5,Education,Bangalore,1
LN00120,36,Self-Employed,504780,291185,36,616,0,Home,Chennai,0
LN00121,54,Retired,819281,335762,60,706,2,Medical,Chennai,0
LN00122,42,Retired,825178,452873,36,805,1,Business,Mumbai,0
LN00123,29,Self-Employed,459342,667200,12,611,4,Business,Mumbai,0
LN00124,57,Self-Employed,671481,420807,48,717,6,Education,Pune,1
LN00125,53,Retired,346213,439762,60,744,4,Medical,Chennai,1
LN00126,23,Salaried,309829,431830,36,646,3,Medical,Delhi,0
LN00127,23,Salaried,401947,608711,12,569,2,Home,Mumbai,1
LN00128,47,Self-Employed,708946,426409,60,643,1,Education,Delhi,0
LN00129,37,Retired,553832,487323,60,773,0,Home,Delhi,0
LN00130,52,Self-Employed,611044,393020,36,600,4,Medical,Pune,1
LN00131,58,Salaried,689142,227756,60,799,1,Home,Bangalore,0
LN00132,54,Self-Employed,592447,391699,60,645,3,Medical,Mumbai,0
LN00133,24,Salaried,248499,646209,36,733,4,Vehicle,Bangalore,0
LN00134,53,Self-Employed,761512,634719,60,498,2,Home,Hyderabad,1
LN00135,34,Self-Employed,704773,213530,24,595,3,Home,Hyderabad,0
LN00136,49,Salaried,579007,210153,48,707,2,Home,Chennai,0
LN00137,23,Salaried,590033,664007,24,859,0,Vehicle,Bangalore,0
LN00138,24,Salaried,321659,291983,12,678,0,Education,Pune,0
LN00139,44,Salaried,763148,150085,12,742,3,Vehicle,Kolkata,0
LN00140,52,Salaried,586489,382457,12,652,2,Education,Mumbai,0
LN00141,56,Self-Employed,719530,384715,24,729,4,Medical,Kolkata,0
LN00142,27,Retired,480438,421296,60,694,3,Home,Bangalore,1
LN00143,51,Self-Employed,474402,537273,36,759,2,Home,Delhi,0
LN00144,47,Self-Employed,499083,353131,36,580,1,Education,Kolkata,0
LN00145,60,Salaried,463840,384097,24,700,0,Vehicle,Kolkata,0
LN00146,37,Self-Employed,507290,962504,12,637,4,Business,Delhi,1
LN00147,25,Self-Employed,575205,317847,24,840,1,Medical,Kolkata,0
LN00148,50,Salaried,738612,403882,60,602,2,Business,Bangalore,0
LN00149,39,Retired,518877,550609,24,521,6,Medical,Hyderabad,1
LN00150,50,Retired,238873,742775,12,651,3,Medical,Delhi,1
LN00151,51,Salaried,501069,526871,60,581,3,Education,Chennai,0
LN00152,43,Salaried,584724,300037,24,776,1,Business,Pune,0
LN00153,38,Self-Employed,454533,289405,12,743,0,Home,Kolkata,0
LN00154,42,Salaried,1005120,501530,60,686,4,Medical,Mumbai,0
LN00155,26,Self-Employed,222638,735568,36,526,2,Vehicle,Bangalore,1
LN00156,23,Self-Employed,516639,347048,36,719,3,Vehicle,Mumbai,1
LN00157,26,Salaried,607455,482982,48,640,3,Home,Kolkata,0
LN00158,35,Salaried,664593,650502,12,716,2,Medical,Kolkata,0
LN00159,35,Salaried,712236,406987,60,750,4,Medical,Chennai,0
LN00160,59,Salaried,645927,708505,12,851,1,Business,Kolkata,0
LN00161,31,Salaried,487089,333736,48,569,2,Home,Delhi,0
LN00162,26,Salaried,739913,320669,60,704,4,Home,Hyderabad,0
LN00163,22,Retired,368486,605798,60,573,2,Vehicle,Pune,1
LN00164,45,Salaried,576369,458429,12,855,0,Home,Hyderabad,0
LN00165,56,Salaried,694041,382103,12,549,1,Vehicle,Chennai,0
LN00166,34,Salaried,815623,331312,36,721,0,Medical,Pune,0
LN00167,50,Salaried,516051,518103,12,800,1,Education,Hyderabad,0
LN00168,52,Self-Employed,424506,210123,24,658,0,Business,Pune,0
LN00169,46,Unemployed,344523,512605,48,682,2,Education,Delhi,1
LN00170,31,Retired,564790,409080,24,720,2,Home,Kolkata,0
LN00171,25,Unemployed,584709,442044,36,781,1,Medical,Pune,0
LN00172,36,Retired,476235,431977,24,755,3,Vehicle,Bangalore,0
LN00173,42,Unemployed,607951,431715,12,774,0,Medical,Bangalore,0
LN00174,63,Salaried,562298,772887,12,627,0,Education,Kolkata,0
LN00175,25,Self-Employed,666017,920818,12,478,4,Home,Mumbai,1
LN00176,23,Salaried,370301,329132,12,671,3,Vehicle,Delhi,0
LN00177,61,Salaried,602865,336889,12,755,3,Home,Chennai,0
LN00178,35,Self-Employed,574695,317854,60,738,1,Business,Pune,0
LN00179,52,Salaried,323320,107692,36,591,0,Home,Delhi,0
LN00180,54,Salaried,546649,528799,48,623,3,Business,Bangalore,0
LN00181,34,Salaried,461142,440188,60,742,2,Medical,Bangalore,0
LN00182,31,Salaried,566189,467686,48,630,2,Medical,Bangalore,0
LN00183,26,Self-Employed,500203,425236,48,840,4,Vehicle,Chennai,0
LN00184,43,Salaried,608509,790411,36,580,3,Vehicle,Kolkata,0
LN00185,35,Self-Employed,620794,411172,36,479,0,Education,Chennai,0
LN00186,35,Salaried,813997,660484,60,812,1,Home,Hyderabad,0
LN00187,47,Self-Employed,514686,454650,24,496,2,Home,Hyderabad,0
LN00188,29,Self-Employed,757663,279863,12,689,3,Business,Pune,0
LN00189,46,Salaried,513548,424992,36,711,3,Home,Bangalore,0
LN00190,56,Retired,611494,419897,24,732,3,Vehicle,Hyderabad,0
LN00191,58,Salaried,476829,249453,24,880,4,Medical,Mumbai,0
LN00192,52,Self-Employed,383174,428876,24,709,2,Home,Hyderabad,1
LN00193,31,Salaried,761333,352935,12,690,1,Education,Delhi,0
LN00194,25,Retired,612117,584083,48,599,5,Vehicle,Pune,1
LN00195,57,Self-Employed,653345,1000487,48,421,2,Vehicle,Mumbai,1
LN00196,28,Retired,352287,708852,24,517,5,Home,Bangalore,1
LN00197,52,Self-Employed,635299,172888,36,521,4,Business,Hyderabad,0
LN00198,53,Unemployed,522691,455275,12,823,4,Business,Chennai,0
LN00199,28,Salaried,308092,522719,12,545,0,Vehicle,Delhi,0
LN00200,26,Self-Employed,659126,641092,48,609,0,Home,Bangalore,0
LN00201,53,Self-Employed,780586,261376,36,553,0,Vehicle,Chennai,0
LN00202,57,Retired,397702,483044,48,433,5,Medical,Delhi,1
LN00203,48,Self-Employed,502137,519506,36,610,4,Vehicle,Bangalore,1
LN00204,44,Retired,588531,330376,24,604,4,Medical,Kolkata,0
LN00205,40,Retired,443976,504703,12,609,2,Vehicle,Mumbai,1
LN00206,43,Self-Employed,481153,253020,24,596,5,Business,Chennai,1
LN00207,56,Self-Employed,692408,584053,36,713,1,Vehicle,Chennai,0
LN00208,60,Self-Employed,492721,565059,60,715,4,Vehicle,Bangalore,0
LN00209,24,Retired,840140,662987,24,864,4,Business,Chennai,0
LN00210,59,Self-Employed,565629,634384,48,451,2,Medical,Bangalore,1
LN00211,56,Self-Employed,507445,492005,36,752,2,Education,Delhi,0
LN00212,60,Salaried,558864,606238,24,472,6,Vehicle,Chennai,1
LN00213,38,Self-Employed,507361,355677,24,523,6,Business,Delhi,1
LN00214,61,Unemployed,356277,733815,12,503,3,Business,Hyderabad,1
LN00215,60,Retired,754787,401831,24,891,3,Vehicle,Mumbai,0
LN00216,31,Salaried,453808,615463,60,710,1,Vehicle,Pune,0
LN00217,32,Self-Employed,436585,133519,48,622,3,Medical,Hyderabad,0
LN00218,37,Salaried,546822,508195,36,578,2,Home,Pune,1
LN00219,53,Unemployed,469215,475558,36,719,6,Vehicle,Hyderabad,1
LN00220,51,Self-Employed,613860,458763,48,735,3,Business,Delhi,0
LN00221,23,Salaried,420753,327787,48,673,2,Home,Kolkata,0
LN00222,37,Unemployed,311515,657301,36,500,4,Education,Chennai,1
LN00223,24,Self-Employed,339019,582302,36,889,1,Business,Chennai,0
LN00224,24,Self-Employed,738083,608032,24,722,0,Vehicle,Kolkata,0
LN00225,53,Salaried,565310,496531,60,731,1,Vehicle,Pune,0
LN00226,44,Salaried,375245,208717,36,672,3,Home,Hyderabad,0
LN00227,39,Retired,581604,904450,48,644,3,Vehicle,Hyderabad,1
LN00228,53,Unemployed,836003,269478,36,452,5,Vehicle,Bangalore,1
LN00229,41,Self-Employed,623608,607859,24,542,4,Medical,Delhi,0
LN00230,63,Retired,443162,386360,48,686,3,Education,Pune,1
LN00231,59,Self-Employed,617576,684967,12,662,0,Education,Hyderabad,0
LN00232,54,Unemployed,543271,308061,60,780,5,Home,Delhi,1
LN00233,23,Self-Employed,483890,308804,12,754,4,Home,Chennai,0
LN00234,27,Salaried,335324,247782,24,718,4,Home,Kolkata,0
LN00235,40,Salaried,462509,454022,60,604,4,Medical,Kolkata,0
LN00236,57,Self-Employed,630976,598150,36,537,2,Home,Kolkata,1
LN00237,36,Salaried,658667,548330,36,666,0,Business,Delhi,0
LN00238,35,Salaried,453587,282811,24,485,2,Education,Kolkata,0
LN00239,57,Salaried,620439,440536,24,658,2,Home,Delhi,0
LN00240,53,Retired,541916,813423,12,685,3,Education,Mumbai,1
LN00241,40,Salaried,718001,560867,60,763,3,Vehicle,Delhi,0
LN00242,51,Salaried,633915,373122,60,650,4,Vehicle,Delhi,0
LN00243,34,Self-Employed,559144,512571,12,670,3,Business,Bangalore,1
LN00244,61,Salaried,530581,338990,24,609,3,Medical,Pune,0
LN00245,55,Salaried,416557,610840,12,665,1,Medical,Pune,0
LN00246,64,Retired,613726,632759,60,607,2,Education,Mumbai,1
LN00247,22,Salaried,581969,482697,12,586,3,Business,Bangalore,0
LN00248,32,Salaried,602152,195535,60,732,4,Home,Bangalore,0
LN00249,64,Salaried,627305,413366,36,746,3,Home,Pune,0
LN00250,47,Salaried,731522,680090,36,579,3,Business,Hyderabad,0
LN00251,60,Salaried,596642,498096,48,606,2,Business,Chennai,0
LN00252,56,Salaried,544939,983000,24,590,4,Vehicle,Pune,1
LN00253,39,Retired,548973,461371,24,762,1,Home,Chennai,0
LN00254,25,Salaried,547079,476594,24,680,4,Home,Chennai,1
LN00255,63,Self-Employed,502587,501786,36,807,4,Education,Pune,0
LN00256,56,Salaried,603239,597637,48,817,3,Home,Hyderabad,0
LN00257,23,Salaried,780618,359236,60,826,2,Business,Hyderabad,0
LN00258,35,Salaried,413894,287378,24,732,0,Education,Pune,0
LN00259,45,Salaried,600759,457885,24,801,3,Vehicle,Pune,0
LN00260,29,Salaried,831035,211581,24,704,0,Home,Delhi,0
LN00261,34,Unemployed,426298,353502,36,588,3,Medical,Pune,1
LN00262,27,Retired,782940,361034,60,763,2,Vehicle,Chennai,0
LN00263,33,Retired,381095,490487,24,578,2,Medical,Bangalore,1
LN00264,28,Self-Employed,586051,126248,60,698,2,Business,Mumbai,0
LN00265,44,Self-Employed,659080,473473,24,717,1,Vehicle,Bangalore,0
LN00266,26,Salaried,584512,593506,48,654,1,Home,Chennai,0
LN00267,61,Salaried,456965,684636,36,712,5,Business,Pune,1
LN00268,63,Self-Employed,472545,671827,60,506,4,Education,Delhi,1
LN00269,44,Unemployed,477725,713553,12,674,3,Medical,Pune,1
LN00270,50,Self-Employed,530944,353918,24,563,1,Home,Bangalore,0
LN00271,53,Self-Employed,558550,514450,24,702,2,Education,Hyderabad,0
LN00272,29,Salaried,803761,396704,36,683,1,Business,Bangalore,0
LN00273,42,Unemployed,657013,390161,24,628,4,Business,Hyderabad,1
LN00274,39,Salaried,683052,482594,12,604,4,Vehicle,Hyderabad,0
LN00275,54,Salaried,618363,438706,60,735,3,Education,Bangalore,0
LN00276,54,Salaried,498826,281209,24,571,3,Business,Kolkata,0
LN00277,38,Salaried,662958,495905,60,823,3,Medical,Delhi,0
LN00278,54,Self-Employed,675509,544497,36,555,6,Business,Chennai,1
LN00279,28,Salaried,670956,819793,24,586,2,Vehicle,Mumbai,0
LN00280,43,Retired,544861,362132,60,536,2,Medical,Mumbai,1
LN00281,24,Salaried,414122,469994,12,740,0,Education,Chennai,0
LN00282,39,Salaried,602777,504309,36,771,4,Medical,Chennai,0
LN00283,45,Self-Employed,754583,287826,24,618,3,Vehicle,Delhi,0
LN00284,32,Retired,694746,415548,36,535,4,Medical,Bangalore,0
LN00285,30,Retired,893719,388848,12,579,4,Home,Delhi,0
LN00286,29,Salaried,281176,662781,60,667,4,Medical,Pune,1
LN00287,56,Self-Employed,354391,265637,36,653,5,Medical,Hyderabad,1
LN00288,36,Salaried,848947,531743,60,668,3,Home,Pune,0
LN00289,34,Unemployed,431131,828400,60,720,2,Medical,Hyderabad,1
LN00290,22,Unemployed,467134,768262,60,684,6,Home,Kolkata,1
LN00291,45,Retired,426778,445045,36,741,0,Vehicle,Pune,0
LN00292,41,Salaried,823309,433542,48,561,2,Medical,Kolkata,0
LN00293,36,Salaried,598683,285483,48,633,2,Education,Delhi,0
LN00294,53,Self-Employed,393429,152167,24,450,3,Business,Delhi,0
LN00295,38,Salaried,358978,231946,12,614,3,Medical,Bangalore,0
LN00296,27,Retired,423457,341038,48,641,4,Vehicle,Kolkata,1
LN00297,63,Salaried,506595,285382,36,515,5,Home,Bangalore,1
LN00298,24,Self-Employed,732860,510286,48,667,2,Medical,Delhi,0
LN00299,62,Salaried,544840,372851,12,797,4,Education,Kolkata,0
LN00300,24,Self-Employed,513818,231059,12,641,3,Medical,Bangalore,1
LN00301,64,Salaried,694100,457128,24,816,2,Education,Mumbai,0
LN00302,51,Unemployed,196130,352074,48,587,3,Vehicle,Hyderabad,1
LN00303,48,Unemployed,927706,394716,60,697,4,Business,Chennai,0
LN00304,29,Self-Employed,590160,358362,48,660,1,Vehicle,Mumbai,0
LN00305,50,Retired,570141,460204,24,634,4,Home,Mumbai,0
LN00306,26,Retired,724337,422652,36,550,2,Home,Mumbai,0
LN00307,31,Salaried,615388,610786,36,569,4,Medical,Hyderabad,0
LN00308,37,Salaried,801809,725631,12,618,0,Home,Hyderabad,0
LN00309,61,Salaried,834089,226342,12,777,0,Education,Hyderabad,0
LN00310,31,Self-Employed,477279,669480,24,525,4,Education,Kolkata,1
LN00311,26,Salaried,770293,512129,24,630,1,Business,Chennai,0
LN00312,34,Self-Employed,757871,552467,12,700,3,Medical,Mumbai,0
LN00313,42,Self-Employed,724958,193360,48,625,0,Business,Bangalore,0
LN00314,60,Salaried,600900,506503,60,604,2,Medical,Kolkata,0
LN00315,42,Salaried,755103,329774,48,716,0,Vehicle,Bangalore,0
LN00316,36,Self-Employed,379844,733845,12,528,3,Vehicle,Kolkata,1
LN00317,28,Salaried,799421,358330,60,680,0,Business,Hyderabad,0
LN00318,62,Self-Employed,811775,398433,24,710,3,Vehicle,Mumbai,0
LN00319,63,Salaried,681145,758180,24,773,2,Education,Kolkata,0
LN00320,43,Self-Employed,550225,617749,24,708,4,Home,Bangalore,0
LN00321,34,Self-Employed,383356,422207,24,446,6,Education,Pune,1
LN00322,36,Salaried,480492,531805,24,673,4,Vehicle,Pune,0
LN00323,29,Salaried,247772,1013865,12,557,6,Business,Hyderabad,1
LN00324,34,Self-Employed,520712,661246,48,634,3,Medical,Pune,1
LN00325,46,Salaried,542085,620403,36,761,2,Home,Kolkata,0
LN00326,49,Salaried,618914,435113,48,590,4,Home,Pune,0
LN00327,60,Salaried,573621,497640,60,704,2,Education,Delhi,0
LN00328,60,Salaried,367432,499513,12,794,2,Medical,Kolkata,0
LN00329,40,Salaried,616879,448833,12,698,1,Business,Hyderabad,0
LN00330,40,Salaried,589623,345125,60,618,4,Home,Kolkata,0
LN00331,40,Retired,412923,350322,60,426,5,Business,Mumbai,1
LN00332,40,Salaried,836026,463569,48,821,1,Home,Bangalore,0
LN00333,60,Salaried,422419,420694,12,790,4,Business,Bangalore,0
LN00334,23,Unemployed,397611,469270,12,584,6,Education,Bangalore,1
LN00335,56,Retired,424932,611766,60,602,4,Business,Mumbai,1
LN00336,34,Self-Employed,485159,313658,48,774,3,Business,Mumbai,0
LN00337,30,Self-Employed,296022,679656,36,581,2,Home,Pune,1
LN00338,30,Unemployed,602155,717698,12,644,4,Vehicle,Chennai,1
LN00339,32,Self-Employed,527145,598715,60,640,2,Medical,Bangalore,0
LN00340,54,Salaried,1009545,481560,24,711,2,Medical,Delhi,0
LN00341,29,Salaried,598382,249119,48,694,2,Home,Kolkata,0
LN00342,29,Self-Employed,663075,485464,60,505,6,Business,Bangalore,1
LN00343,57,Salaried,494664,453423,12,715,1,Education,Kolkata,0
LN00344,31,Self-Employed,473197,602799,12,666,0,Education,Hyderabad,0
LN00345,57,Self-Employed,150269,615159,12,709,6,Education,Mumbai,1
LN00346,25,Unemployed,450165,414944,36,726,2,Vehicle,Delhi,0
LN00347,25,Retired,478664,807950,12,607,3,Business,Kolkata,1
LN00348,23,Salaried,380817,724307,48,764,0,Medical,Mumbai,0
LN00349,45,Salaried,654069,428083,36,638,4,Medical,Pune,0
LN00350,62,Self-Employed,449050,573564,60,680,1,Business,Chennai,0
LN00351,37,Retired,333254,741340,36,654,4,Medical,Pune,1
LN00352,47,Self-Employed,266135,335572,48,435,5,Business,Kolkata,1
LN00353,28,Salaried,490478,534054,48,639,3,Home,Pune,0
LN00354,33,Salaried,593456,521743,24,681,0,Education,Kolkata,0
LN00355,61,Self-Employed,712840,276039,24,453,3,Vehicle,Hyderabad,1
LN00356,64,Salaried,715758,209088,60,637,3,Home,Bangalore,0
LN00357,54,Self-Employed,515679,250537,48,697,4,Vehicle,Chennai,0
LN00358,54,Salaried,546192,304456,60,593,2,Business,Chennai,0
LN00359,24,Salaried,459176,288163,36,635,2,Education,Delhi,0
LN00360,33,Self-Employed,444327,257687,60,675,0,Education,Bangalore,0
LN00361,36,Retired,607064,730786,48,451,5,Home,Pune,1
LN00362,40,Retired,727006,696975,24,499,2,Home,Kolkata,1
LN00363,28,Self-Employed,601972,558629,24,724,4,Business,Pune,0
LN00364,24,Retired,358272,515008,60,595,5,Vehicle,Delhi,1
LN00365,47,Self-Employed,239162,372471,36,659,3,Education,Pune,0
LN00366,56,Self-Employed,515448,387949,12,372,6,Home,Chennai,1
LN00367,61,Retired,589284,486725,60,772,0,Business,Kolkata,0
LN00368,35,Self-Employed,372358,611481,60,506,4,Medical,Pune,1
LN00369,59,Retired,665037,756538,24,750,1,Vehicle,Delhi,0
LN00370,60,Self-Employed,372406,844234,36,726,6,Medical,Bangalore,1
LN00371,32,Salaried,467969,551617,12,629,0,Vehicle,Kolkata,0
LN00372,22,Salaried,385102,693468,48,749,0,Business,Kolkata,0
LN00373,37,Salaried,520720,493864,36,670,4,Home,Delhi,1
LN00374,59,Retired,799092,707447,60,621,0,Education,Hyderabad,0
LN00375,50,Self-Employed,531849,346044,12,684,0,Home,Delhi,0
LN00376,38,Retired,434360,321638,60,677,4,Vehicle,Chennai,0
LN00377,60,Unemployed,377522,384481,24,568,5,Education,Delhi,1
LN00378,22,Salaried,409409,342487,12,645,1,Medical,Kolkata,0
LN00379,47,Salaried,681810,496651,36,696,2,Education,Hyderabad,0
LN00380,34,Salaried,561976,100000,36,704,0,Business,Pune,0
LN00381,49,Salaried,772375,384646,60,684,3,Medical,Mumbai,0
LN00382,36,Self-Employed,511612,524105,48,769,2,Education,Mumbai,0
LN00383,41,Salaried,382154,578177,12,557,5,Education,Bangalore,1
LN00384,35,Self-Employed,604197,100000,12,604,0,Education,Pune,0
LN00385,35,Self-Employed,430886,573365,48,681,1,Education,Delhi,0
LN00386,25,Salaried,422949,571665,48,634,1,Vehicle,Kolkata,0
